Started analysis of sample.R2.paired.fq.gz
Approx 5% complete for sample.R2.paired.fq.gz
Approx 10% complete for sample.R2.paired.fq.gz
Approx 15% complete for sample.R2.paired.fq.gz
Approx 25% complete for sample.R2.paired.fq.gz
Approx 30% complete for sample.R2.paired.fq.gz
Approx 35% complete for sample.R2.paired.fq.gz
Approx 40% complete for sample.R2.paired.fq.gz
Approx 50% complete for sample.R2.paired.fq.gz
Approx 55% complete for sample.R2.paired.fq.gz
Approx 60% complete for sample.R2.paired.fq.gz
Approx 65% complete for sample.R2.paired.fq.gz
Approx 70% complete for sample.R2.paired.fq.gz
Approx 80% complete for sample.R2.paired.fq.gz
Approx 85% complete for sample.R2.paired.fq.gz
Approx 90% complete for sample.R2.paired.fq.gz
Approx 100% complete for sample.R2.paired.fq.gz
Started analysis of sample.R1.paired.fq.gz
Approx 5% complete for sample.R1.paired.fq.gz
Approx 10% complete for sample.R1.paired.fq.gz
Approx 15% complete for sample.R1.paired.fq.gz
Approx 25% complete for sample.R1.paired.fq.gz
Approx 30% complete for sample.R1.paired.fq.gz
Approx 35% complete for sample.R1.paired.fq.gz
Approx 40% complete for sample.R1.paired.fq.gz
Approx 50% complete for sample.R1.paired.fq.gz
Approx 55% complete for sample.R1.paired.fq.gz
Approx 60% complete for sample.R1.paired.fq.gz
Approx 65% complete for sample.R1.paired.fq.gz
Approx 75% complete for sample.R1.paired.fq.gz
Approx 80% complete for sample.R1.paired.fq.gz
Approx 85% complete for sample.R1.paired.fq.gz
Approx 90% complete for sample.R1.paired.fq.gz
Approx 100% complete for sample.R1.paired.fq.gz
