## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[results/aligned_reads/sample.sorted.bam] OUTPUT=results/aligned_reads/dup.reads.bam METRICS_FILE=results/aligned_reads/metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Jan 28 11:47:30 EST 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	67	15926	746	81	43	1458	0	0.092703	81587

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	13667	13667
2.0	1.822667	610	610
3.0	2.499449	115	115
4.0	3.056216	18	18
5.0	3.51425	8	8
6.0	3.891061	6	6
7.0	4.20105	9	9
8.0	4.456069	4	4
9.0	4.665864	3	3
10.0	4.838456	3	3
11.0	4.980442	1	1
12.0	5.09725	4	4
13.0	5.193343	2	2
14.0	5.272396	4	4
15.0	5.337431	2	2
16.0	5.390933	4	4
17.0	5.434947	1	1
18.0	5.471156	2	2
19.0	5.500944	1	1
20.0	5.52545	0	0
21.0	5.54561	2	2
22.0	5.562195	1	1
23.0	5.575838	1	1
24.0	5.587063	0	0
25.0	5.596297	0	0
26.0	5.603893	0	0
27.0	5.610143	0	0
28.0	5.615284	0	0
29.0	5.619513	0	0
30.0	5.622993	0	0
31.0	5.625855	0	0
32.0	5.62821	0	0
33.0	5.630147	0	0
34.0	5.631741	0	0
35.0	5.633052	0	0
36.0	5.634131	0	0
37.0	5.635018	0	0
38.0	5.635748	0	0
39.0	5.636349	0	0
40.0	5.636843	0	0
41.0	5.637249	0	0
42.0	5.637584	0	0
43.0	5.637859	0	0
44.0	5.638085	0	0
45.0	5.638271	0	0
46.0	5.638424	0	0
47.0	5.63855	0	0
48.0	5.638654	0	0
49.0	5.638739	0	0
50.0	5.638809	0	0
51.0	5.638867	0	0
52.0	5.638914	0	0
53.0	5.638953	0	0
54.0	5.638986	0	0
55.0	5.639012	0	0
56.0	5.639034	0	0
57.0	5.639052	0	0
58.0	5.639066	0	0
59.0	5.639078	0	0
60.0	5.639088	0	0
61.0	5.639097	0	0
62.0	5.639103	0	0
63.0	5.639109	0	0
64.0	5.639113	0	0
65.0	5.639117	0	0
66.0	5.63912	0	0
67.0	5.639123	0	0
68.0	5.639125	0	0
69.0	5.639127	0	0
70.0	5.639128	0	0
71.0	5.639129	0	0
72.0	5.63913	0	0
73.0	5.639131	0	0
74.0	5.639132	0	0
75.0	5.639132	0	0
76.0	5.639133	0	0
77.0	5.639133	0	0
78.0	5.639133	0	0
79.0	5.639134	0	0
80.0	5.639134	0	0
81.0	5.639134	0	0
82.0	5.639134	0	0
83.0	5.639134	0	0
84.0	5.639134	0	0
85.0	5.639134	0	0
86.0	5.639134	0	0
87.0	5.639134	0	0
88.0	5.639134	0	0
89.0	5.639134	0	0
90.0	5.639135	0	0
91.0	5.639135	0	0
92.0	5.639135	0	0
93.0	5.639135	0	0
94.0	5.639135	0	0
95.0	5.639135	0	0
96.0	5.639135	0	0
97.0	5.639135	0	0
98.0	5.639135	0	0
99.0	5.639135	0	0
100.0	5.639135	0	0

